/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.3333333333333333
/*Number of Nodes*/
175
/*The Depot*/
0.7799459038203267 0.8325538013035704 depot
/*The Locations (x_coor y_coor name)*/
32.0 20.0 loc1
68.0 35.0 loc2
99.0 57.0 loc3
38.0 73.0 loc4
25.0 81.0 loc5
21.0 7.0 loc6
58.0 7.0 loc7
74.0 63.0 loc8
46.0 49.0 loc9
14.0 36.0 loc10
68.0 27.0 loc11
91.0 3.0 loc12
2.0 75.0 loc13
79.0 75.0 loc14
18.0 31.0 loc15
64.0 9.0 loc16
7.0 4.0 loc17
90.0 59.0 loc18
36.0 71.0 loc19
4.0 71.0 loc20
14.0 22.0 loc21
91.0 37.0 loc22
89.0 25.0 loc23
69.0 63.0 loc24
24.0 99.0 loc25
78.0 21.0 loc26
38.0 97.0 loc27
74.0 37.0 loc28
70.0 73.0 loc29
95.0 84.0 loc30
36.0 71.0 loc31
98.0 95.0 loc32
53.0 49.0 loc33
8.0 26.0 loc34
28.0 26.0 loc35
14.0 70.0 loc36
2.0 82.0 loc37
82.0 82.0 loc38
93.0 4.0 loc39
3.0 84.0 loc40
27.0 37.0 loc41
85.0 54.0 loc42
46.0 21.0 loc43
45.0 2.0 loc44
16.0 44.0 loc45
26.0 98.0 loc46
44.0 15.0 loc47
48.0 40.0 loc48
59.0 4.0 loc49
87.0 42.0 loc50
65.0 52.0 loc51
26.0 42.0 loc52
43.0 13.0 loc53
11.0 18.0 loc54
22.0 25.0 loc55
54.0 43.0 loc56
28.0 82.0 loc57
85.0 83.0 loc58
60.0 35.0 loc59
39.0 69.0 loc60
61.0 63.0 loc61
13.0 61.0 loc62
50.0 97.0 loc63
86.0 13.0 loc64
79.0 33.0 loc65
43.0 40.0 loc66
17.0 43.0 loc67
71.0 50.0 loc68
97.0 22.0 loc69
17.0 29.0 loc70
32.0 10.0 loc71
28.0 7.0 loc72
78.0 43.0 loc73
9.0 12.0 loc74
59.0 43.0 loc75
7.0 34.0 loc76
76.0 71.0 loc77
44.0 24.0 loc78
76.0 63.0 loc79
44.0 77.0 loc80
88.0 19.0 loc81
79.0 96.0 loc82
60.0 57.0 loc83
29.0 18.0 loc84
18.0 26.0 loc85
41.0 38.0 loc86
86.0 33.0 loc87
16.0 24.0 loc88
37.0 0.0 loc89
43.0 72.0 loc90
40.0 65.0 loc91
43.0 70.0 loc92
65.0 20.0 loc93
26.0 13.0 loc94
36.0 36.0 loc95
90.0 53.0 loc96
39.0 7.0 loc97
0.0 34.0 loc98
52.0 0.0 loc99
91.0 91.0 loc100
36.0 96.0 loc101
47.0 75.0 loc102
25.0 93.0 loc103
73.0 55.0 loc104
42.0 40.0 loc105
59.0 97.0 loc106
95.0 41.0 loc107
46.0 97.0 loc108
92.0 97.0 loc109
44.0 98.0 loc110
63.0 88.0 loc111
45.0 80.0 loc112
38.0 81.0 loc113
93.0 6.0 loc114
23.0 83.0 loc115
7.0 8.0 loc116
70.0 62.0 loc117
70.0 70.0 loc118
65.0 47.0 loc119
65.0 99.0 loc120
11.0 16.0 loc121
94.0 33.0 loc122
52.0 24.0 loc123
32.0 61.0 loc124
58.0 47.0 loc125
25.0 81.0 loc126
13.0 15.0 loc127
19.0 23.0 loc128
20.0 52.0 loc129
51.0 68.0 loc130
86.0 14.0 loc131
52.0 97.0 loc132
36.0 5.0 loc133
10.0 9.0 loc134
90.0 13.0 loc135
7.0 45.0 loc136
27.0 84.0 loc137
96.0 61.0 loc138
71.0 69.0 loc139
97.0 17.0 loc140
78.0 62.0 loc141
54.0 12.0 loc142
49.0 10.0 loc143
73.0 65.0 loc144
97.0 69.0 loc145
73.0 15.0 loc146
49.0 98.0 loc147
38.0 51.0 loc148
51.0 64.0 loc149
4.0 94.0 loc150
8.0 40.0 loc151
94.0 56.0 loc152
27.0 75.0 loc153
44.0 37.0 loc154
75.0 24.0 loc155
64.0 34.0 loc156
28.0 85.0 loc157
74.0 21.0 loc158
5.0 39.0 loc159
59.0 90.0 loc160
49.0 88.0 loc161
32.0 77.0 loc162
52.0 17.0 loc163
65.0 17.0 loc164
74.0 21.0 loc165
48.0 30.0 loc166
10.0 93.0 loc167
24.0 24.0 loc168
29.0 46.0 loc169
26.0 57.0 loc170
53.0 9.0 loc171
39.0 94.0 loc172
21.0 13.0 loc173
50.0 38.0 loc174
