/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
250
/*The Depot*/
0.8665111632733047 0.9295426324554269 depot
/*The Locations (x_coor y_coor name)*/
98.0 65.0 loc1
8.0 80.0 loc2
4.0 27.0 loc3
21.0 71.0 loc4
87.0 18.0 loc5
74.0 44.0 loc6
24.0 91.0 loc7
86.0 43.0 loc8
26.0 78.0 loc9
59.0 50.0 loc10
3.0 95.0 loc11
96.0 5.0 loc12
22.0 10.0 loc13
87.0 48.0 loc14
97.0 2.0 loc15
4.0 82.0 loc16
11.0 50.0 loc17
23.0 81.0 loc18
67.0 15.0 loc19
13.0 13.0 loc20
83.0 89.0 loc21
78.0 66.0 loc22
24.0 53.0 loc23
81.0 89.0 loc24
54.0 0.0 loc25
13.0 34.0 loc26
48.0 62.0 loc27
71.0 62.0 loc28
15.0 29.0 loc29
41.0 32.0 loc30
83.0 5.0 loc31
54.0 17.0 loc32
40.0 70.0 loc33
69.0 61.0 loc34
22.0 42.0 loc35
0.0 81.0 loc36
41.0 61.0 loc37
44.0 68.0 loc38
5.0 61.0 loc39
3.0 42.0 loc40
41.0 70.0 loc41
23.0 40.0 loc42
51.0 48.0 loc43
98.0 57.0 loc44
19.0 70.0 loc45
88.0 97.0 loc46
45.0 76.0 loc47
96.0 41.0 loc48
10.0 68.0 loc49
39.0 28.0 loc50
19.0 69.0 loc51
44.0 34.0 loc52
72.0 84.0 loc53
9.0 50.0 loc54
0.0 56.0 loc55
35.0 69.0 loc56
86.0 53.0 loc57
96.0 30.0 loc58
61.0 34.0 loc59
77.0 16.0 loc60
70.0 36.0 loc61
84.0 1.0 loc62
82.0 67.0 loc63
20.0 33.0 loc64
67.0 21.0 loc65
20.0 90.0 loc66
68.0 65.0 loc67
55.0 68.0 loc68
65.0 34.0 loc69
88.0 48.0 loc70
17.0 85.0 loc71
91.0 43.0 loc72
42.0 97.0 loc73
8.0 33.0 loc74
50.0 70.0 loc75
16.0 51.0 loc76
97.0 96.0 loc77
8.0 14.0 loc78
32.0 27.0 loc79
65.0 62.0 loc80
33.0 80.0 loc81
61.0 35.0 loc82
42.0 11.0 loc83
27.0 72.0 loc84
70.0 9.0 loc85
94.0 37.0 loc86
87.0 60.0 loc87
58.0 19.0 loc88
47.0 57.0 loc89
32.0 60.0 loc90
42.0 86.0 loc91
87.0 81.0 loc92
82.0 30.0 loc93
56.0 1.0 loc94
41.0 22.0 loc95
74.0 82.0 loc96
64.0 42.0 loc97
61.0 99.0 loc98
92.0 69.0 loc99
86.0 21.0 loc100
29.0 47.0 loc101
79.0 3.0 loc102
8.0 69.0 loc103
63.0 10.0 loc104
99.0 10.0 loc105
56.0 93.0 loc106
81.0 72.0 loc107
70.0 6.0 loc108
8.0 53.0 loc109
81.0 66.0 loc110
25.0 38.0 loc111
85.0 36.0 loc112
78.0 47.0 loc113
82.0 74.0 loc114
28.0 29.0 loc115
14.0 43.0 loc116
2.0 44.0 loc117
25.0 49.0 loc118
42.0 92.0 loc119
32.0 75.0 loc120
81.0 40.0 loc121
63.0 55.0 loc122
74.0 42.0 loc123
10.0 87.0 loc124
36.0 38.0 loc125
55.0 41.0 loc126
26.0 62.0 loc127
33.0 85.0 loc128
57.0 87.0 loc129
36.0 3.0 loc130
20.0 58.0 loc131
25.0 23.0 loc132
43.0 66.0 loc133
27.0 90.0 loc134
58.0 50.0 loc135
24.0 10.0 loc136
90.0 38.0 loc137
38.0 97.0 loc138
74.0 75.0 loc139
21.0 3.0 loc140
76.0 81.0 loc141
65.0 90.0 loc142
86.0 2.0 loc143
10.0 83.0 loc144
56.0 5.0 loc145
40.0 16.0 loc146
73.0 16.0 loc147
14.0 32.0 loc148
82.0 39.0 loc149
75.0 15.0 loc150
80.0 53.0 loc151
35.0 76.0 loc152
85.0 57.0 loc153
96.0 29.0 loc154
33.0 28.0 loc155
36.0 78.0 loc156
27.0 13.0 loc157
92.0 73.0 loc158
82.0 94.0 loc159
43.0 86.0 loc160
84.0 70.0 loc161
66.0 95.0 loc162
22.0 96.0 loc163
64.0 79.0 loc164
78.0 23.0 loc165
13.0 17.0 loc166
