/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
1.0
/*Number of Nodes*/
500
/*The Depot*/
0.40890160982435064 0.04054074692524379 depot
/*The Locations (x_coor y_coor name)*/
28.0 37.0 loc1
50.0 58.0 loc2
97.0 5.0 loc3
23.0 43.0 loc4
6.0 49.0 loc5
26.0 42.0 loc6
2.0 36.0 loc7
86.0 12.0 loc8
58.0 51.0 loc9
42.0 17.0 loc10
38.0 29.0 loc11
88.0 59.0 loc12
2.0 64.0 loc13
26.0 17.0 loc14
26.0 21.0 loc15
2.0 70.0 loc16
64.0 66.0 loc17
45.0 93.0 loc18
4.0 15.0 loc19
12.0 8.0 loc20
22.0 75.0 loc21
18.0 14.0 loc22
33.0 24.0 loc23
62.0 74.0 loc24
16.0 13.0 loc25
93.0 44.0 loc26
73.0 81.0 loc27
42.0 22.0 loc28
35.0 62.0 loc29
14.0 56.0 loc30
97.0 75.0 loc31
7.0 5.0 loc32
74.0 39.0 loc33
1.0 40.0 loc34
88.0 86.0 loc35
95.0 28.0 loc36
47.0 70.0 loc37
45.0 28.0 loc38
51.0 76.0 loc39
30.0 83.0 loc40
22.0 25.0 loc41
77.0 60.0 loc42
72.0 1.0 loc43
69.0 7.0 loc44
74.0 75.0 loc45
21.0 33.0 loc46
2.0 14.0 loc47
31.0 13.0 loc48
77.0 79.0 loc49
57.0 51.0 loc50
74.0 59.0 loc51
58.0 90.0 loc52
71.0 18.0 loc53
71.0 18.0 loc54
43.0 60.0 loc55
30.0 32.0 loc56
27.0 27.0 loc57
9.0 31.0 loc58
27.0 5.0 loc59
28.0 43.0 loc60
36.0 98.0 loc61
24.0 13.0 loc62
43.0 11.0 loc63
24.0 59.0 loc64
77.0 19.0 loc65
86.0 82.0 loc66
11.0 43.0 loc67
76.0 58.0 loc68
69.0 62.0 loc69
45.0 21.0 loc70
26.0 18.0 loc71
90.0 96.0 loc72
39.0 66.0 loc73
81.0 23.0 loc74
69.0 69.0 loc75
85.0 56.0 loc76
63.0 60.0 loc77
42.0 60.0 loc78
13.0 80.0 loc79
40.0 78.0 loc80
2.0 43.0 loc81
71.0 45.0 loc82
12.0 33.0 loc83
36.0 89.0 loc84
77.0 74.0 loc85
15.0 9.0 loc86
12.0 43.0 loc87
90.0 40.0 loc88
19.0 27.0 loc89
6.0 13.0 loc90
72.0 77.0 loc91
34.0 26.0 loc92
74.0 0.0 loc93
77.0 46.0 loc94
84.0 2.0 loc95
29.0 7.0 loc96
49.0 62.0 loc97
65.0 3.0 loc98
20.0 89.0 loc99
72.0 46.0 loc100
76.0 8.0 loc101
68.0 26.0 loc102
89.0 56.0 loc103
10.0 18.0 loc104
37.0 46.0 loc105
64.0 45.0 loc106
18.0 86.0 loc107
57.0 87.0 loc108
81.0 71.0 loc109
97.0 99.0 loc110
44.0 94.0 loc111
97.0 65.0 loc112
69.0 61.0 loc113
43.0 74.0 loc114
49.0 43.0 loc115
11.0 45.0 loc116
65.0 90.0 loc117
8.0 11.0 loc118
4.0 72.0 loc119
90.0 69.0 loc120
