/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.3333333333333333
/*Number of Nodes*/
250
/*The Depot*/
0.24165939878676657 0.15419950478231792 depot
/*The Locations (x_coor y_coor name)*/
2.0 36.0 loc1
86.0 12.0 loc2
58.0 51.0 loc3
42.0 17.0 loc4
38.0 29.0 loc5
88.0 59.0 loc6
2.0 64.0 loc7
26.0 17.0 loc8
26.0 21.0 loc9
2.0 70.0 loc10
64.0 66.0 loc11
45.0 93.0 loc12
4.0 15.0 loc13
12.0 8.0 loc14
22.0 75.0 loc15
18.0 14.0 loc16
33.0 24.0 loc17
62.0 74.0 loc18
16.0 13.0 loc19
93.0 44.0 loc20
73.0 81.0 loc21
42.0 22.0 loc22
35.0 62.0 loc23
14.0 56.0 loc24
97.0 75.0 loc25
7.0 5.0 loc26
74.0 39.0 loc27
1.0 40.0 loc28
88.0 86.0 loc29
95.0 28.0 loc30
47.0 70.0 loc31
45.0 28.0 loc32
51.0 76.0 loc33
30.0 83.0 loc34
22.0 25.0 loc35
77.0 60.0 loc36
72.0 1.0 loc37
69.0 7.0 loc38
74.0 75.0 loc39
21.0 33.0 loc40
2.0 14.0 loc41
31.0 13.0 loc42
77.0 79.0 loc43
57.0 51.0 loc44
74.0 59.0 loc45
58.0 90.0 loc46
71.0 18.0 loc47
71.0 18.0 loc48
43.0 60.0 loc49
30.0 32.0 loc50
27.0 27.0 loc51
9.0 31.0 loc52
27.0 5.0 loc53
28.0 43.0 loc54
36.0 98.0 loc55
24.0 13.0 loc56
43.0 11.0 loc57
24.0 59.0 loc58
77.0 19.0 loc59
86.0 82.0 loc60
11.0 43.0 loc61
76.0 58.0 loc62
69.0 62.0 loc63
45.0 21.0 loc64
26.0 18.0 loc65
90.0 96.0 loc66
39.0 66.0 loc67
81.0 23.0 loc68
69.0 69.0 loc69
85.0 56.0 loc70
63.0 60.0 loc71
42.0 60.0 loc72
13.0 80.0 loc73
40.0 78.0 loc74
2.0 43.0 loc75
71.0 45.0 loc76
12.0 33.0 loc77
36.0 89.0 loc78
77.0 74.0 loc79
15.0 9.0 loc80
12.0 43.0 loc81
90.0 40.0 loc82
19.0 27.0 loc83
6.0 13.0 loc84
72.0 77.0 loc85
34.0 26.0 loc86
74.0 0.0 loc87
77.0 46.0 loc88
84.0 2.0 loc89
29.0 7.0 loc90
49.0 62.0 loc91
65.0 3.0 loc92
20.0 89.0 loc93
72.0 46.0 loc94
76.0 8.0 loc95
68.0 26.0 loc96
89.0 56.0 loc97
10.0 18.0 loc98
37.0 46.0 loc99
64.0 45.0 loc100
18.0 86.0 loc101
57.0 87.0 loc102
81.0 71.0 loc103
97.0 99.0 loc104
44.0 94.0 loc105
97.0 65.0 loc106
69.0 61.0 loc107
43.0 74.0 loc108
49.0 43.0 loc109
11.0 45.0 loc110
65.0 90.0 loc111
8.0 11.0 loc112
4.0 72.0 loc113
90.0 69.0 loc114
36.0 18.0 loc115
10.0 16.0 loc116
24.0 46.0 loc117
9.0 98.0 loc118
33.0 57.0 loc119
59.0 94.0 loc120
16.0 67.0 loc121
26.0 4.0 loc122
50.0 48.0 loc123
51.0 61.0 loc124
89.0 87.0 loc125
84.0 91.0 loc126
0.0 1.0 loc127
85.0 54.0 loc128
55.0 99.0 loc129
90.0 38.0 loc130
1.0 8.0 loc131
81.0 28.0 loc132
89.0 71.0 loc133
98.0 24.0 loc134
60.0 82.0 loc135
54.0 29.0 loc136
41.0 69.0 loc137
22.0 37.0 loc138
5.0 54.0 loc139
