/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.3333333333333333
/*Number of Nodes*/
500
/*The Depot*/
0.09844237511389153 0.2682883827801026 depot
/*The Locations (x_coor y_coor name)*/
53.0 32.0 loc1
62.0 38.0 loc2
54.0 0.0 loc3
72.0 19.0 loc4
98.0 51.0 loc5
35.0 60.0 loc6
1.0 19.0 loc7
90.0 40.0 loc8
57.0 85.0 loc9
79.0 31.0 loc10
23.0 1.0 loc11
91.0 35.0 loc12
16.0 75.0 loc13
29.0 8.0 loc14
32.0 79.0 loc15
23.0 27.0 loc16
92.0 41.0 loc17
34.0 12.0 loc18
73.0 30.0 loc19
91.0 1.0 loc20
42.0 20.0 loc21
37.0 75.0 loc22
76.0 77.0 loc23
51.0 15.0 loc24
42.0 8.0 loc25
24.0 86.0 loc26
63.0 28.0 loc27
5.0 7.0 loc28
46.0 33.0 loc29
57.0 30.0 loc30
13.0 65.0 loc31
95.0 3.0 loc32
27.0 68.0 loc33
93.0 88.0 loc34
0.0 84.0 loc35
13.0 48.0 loc36
92.0 96.0 loc37
44.0 53.0 loc38
27.0 72.0 loc39
59.0 81.0 loc40
76.0 2.0 loc41
46.0 77.0 loc42
89.0 97.0 loc43
65.0 87.0 loc44
60.0 96.0 loc45
15.0 82.0 loc46
76.0 61.0 loc47
5.0 12.0 loc48
93.0 91.0 loc49
63.0 96.0 loc50
31.0 69.0 loc51
62.0 18.0 loc52
2.0 78.0 loc53
54.0 32.0 loc54
20.0 66.0 loc55
68.0 62.0 loc56
24.0 72.0 loc57
73.0 46.0 loc58
2.0 91.0 loc59
9.0 3.0 loc60
51.0 94.0 loc61
18.0 1.0 loc62
31.0 79.0 loc63
50.0 62.0 loc64
43.0 43.0 loc65
31.0 91.0 loc66
54.0 37.0 loc67
71.0 9.0 loc68
68.0 33.0 loc69
80.0 51.0 loc70
5.0 74.0 loc71
57.0 62.0 loc72
81.0 56.0 loc73
36.0 36.0 loc74
40.0 70.0 loc75
35.0 54.0 loc76
1.0 60.0 loc77
99.0 37.0 loc78
60.0 40.0 loc79
48.0 88.0 loc80
81.0 16.0 loc81
79.0 17.0 loc82
25.0 72.0 loc83
11.0 57.0 loc84
87.0 35.0 loc85
25.0 78.0 loc86
28.0 21.0 loc87
59.0 72.0 loc88
76.0 71.0 loc89
0.0 52.0 loc90
73.0 91.0 loc91
46.0 25.0 loc92
18.0 62.0 loc93
26.0 4.0 loc94
13.0 63.0 loc95
53.0 20.0 loc96
78.0 6.0 loc97
5.0 14.0 loc98
28.0 88.0 loc99
6.0 8.0 loc100
11.0 98.0 loc101
11.0 93.0 loc102
56.0 1.0 loc103
77.0 33.0 loc104
96.0 69.0 loc105
73.0 28.0 loc106
39.0 69.0 loc107
27.0 68.0 loc108
82.0 71.0 loc109
75.0 69.0 loc110
49.0 33.0 loc111
81.0 95.0 loc112
14.0 29.0 loc113
74.0 87.0 loc114
7.0 26.0 loc115
41.0 72.0 loc116
51.0 88.0 loc117
92.0 45.0 loc118
56.0 78.0 loc119
6.0 45.0 loc120
54.0 90.0 loc121
19.0 14.0 loc122
20.0 69.0 loc123
52.0 78.0 loc124
27.0 37.0 loc125
46.0 48.0 loc126
67.0 53.0 loc127
66.0 56.0 loc128
34.0 49.0 loc129
10.0 79.0 loc130
34.0 60.0 loc131
90.0 6.0 loc132
64.0 15.0 loc133
45.0 96.0 loc134
78.0 79.0 loc135
25.0 11.0 loc136
85.0 14.0 loc137
6.0 68.0 loc138
14.0 18.0 loc139
31.0 28.0 loc140
60.0 95.0 loc141
38.0 1.0 loc142
53.0 32.0 loc143
6.0 37.0 loc144
90.0 10.0 loc145
92.0 85.0 loc146
85.0 73.0 loc147
0.0 53.0 loc148
61.0 56.0 loc149
14.0 96.0 loc150
57.0 56.0 loc151
91.0 8.0 loc152
94.0 36.0 loc153
5.0 72.0 loc154
31.0 96.0 loc155
28.0 14.0 loc156
75.0 80.0 loc157
17.0 96.0 loc158
34.0 21.0 loc159
20.0 82.0 loc160
37.0 59.0 loc161
29.0 35.0 loc162
68.0 30.0 loc163
76.0 42.0 loc164
42.0 75.0 loc165
79.0 92.0 loc166
61.0 21.0 loc167
78.0 39.0 loc168
12.0 42.0 loc169
77.0 13.0 loc170
38.0 76.0 loc171
1.0 47.0 loc172
20.0 74.0 loc173
88.0 61.0 loc174
30.0 64.0 loc175
53.0 61.0 loc176
32.0 38.0 loc177
5.0 64.0 loc178
4.0 54.0 loc179
92.0 32.0 loc180
25.0 52.0 loc181
19.0 16.0 loc182
61.0 3.0 loc183
41.0 85.0 loc184
80.0 58.0 loc185
66.0 75.0 loc186
98.0 5.0 loc187
4.0 16.0 loc188
44.0 55.0 loc189
66.0 41.0 loc190
96.0 98.0 loc191
36.0 0.0 loc192
26.0 1.0 loc193
20.0 49.0 loc194
7.0 25.0 loc195
47.0 45.0 loc196
31.0 63.0 loc197
15.0 32.0 loc198
91.0 22.0 loc199
45.0 6.0 loc200
70.0 14.0 loc201
12.0 99.0 loc202
37.0 64.0 loc203
32.0 29.0 loc204
83.0 92.0 loc205
46.0 39.0 loc206
54.0 34.0 loc207
49.0 87.0 loc208
48.0 58.0 loc209
2.0 28.0 loc210
14.0 92.0 loc211
45.0 39.0 loc212
39.0 31.0 loc213
27.0 24.0 loc214
30.0 93.0 loc215
8.0 62.0 loc216
33.0 12.0 loc217
38.0 51.0 loc218
10.0 4.0 loc219
61.0 97.0 loc220
8.0 34.0 loc221
27.0 19.0 loc222
95.0 25.0 loc223
44.0 20.0 loc224
13.0 51.0 loc225
6.0 51.0 loc226
73.0 2.0 loc227
10.0 82.0 loc228
66.0 70.0 loc229
79.0 57.0 loc230
86.0 60.0 loc231
8.0 40.0 loc232
9.0 65.0 loc233
62.0 69.0 loc234
97.0 58.0 loc235
88.0 37.0 loc236
43.0 75.0 loc237
78.0 77.0 loc238
91.0 66.0 loc239
6.0 21.0 loc240
94.0 41.0 loc241
45.0 96.0 loc242
29.0 0.0 loc243
99.0 64.0 loc244
35.0 90.0 loc245
66.0 97.0 loc246
95.0 80.0 loc247
61.0 37.0 loc248
44.0 49.0 loc249
2.0 12.0 loc250
93.0 45.0 loc251
20.0 9.0 loc252
89.0 8.0 loc253
19.0 9.0 loc254
82.0 37.0 loc255
86.0 86.0 loc256
66.0 48.0 loc257
39.0 85.0 loc258
4.0 85.0 loc259
79.0 6.0 loc260
19.0 69.0 loc261
5.0 82.0 loc262
65.0 60.0 loc263
5.0 84.0 loc264
55.0 12.0 loc265
83.0 79.0 loc266
48.0 29.0 loc267
49.0 40.0 loc268
90.0 73.0 loc269
82.0 59.0 loc270
88.0 67.0 loc271
16.0 53.0 loc272
98.0 72.0 loc273
28.0 53.0 loc274
55.0 98.0 loc275
55.0 51.0 loc276
13.0 73.0 loc277
76.0 7.0 loc278
92.0 84.0 loc279
74.0 18.0 loc280
88.0 10.0 loc281
36.0 97.0 loc282
21.0 99.0 loc283
96.0 67.0 loc284
29.0 81.0 loc285
94.0 28.0 loc286
41.0 51.0 loc287
52.0 27.0 loc288
30.0 53.0 loc289
20.0 0.0 loc290
95.0 58.0 loc291
77.0 21.0 loc292
95.0 75.0 loc293
91.0 68.0 loc294
72.0 93.0 loc295
91.0 27.0 loc296
55.0 87.0 loc297
39.0 63.0 loc298
48.0 70.0 loc299
68.0 21.0 loc300
35.0 78.0 loc301
92.0 74.0 loc302
29.0 38.0 loc303
3.0 87.0 loc304
13.0 39.0 loc305
66.0 95.0 loc306
46.0 33.0 loc307
27.0 85.0 loc308
49.0 8.0 loc309
14.0 65.0 loc310
85.0 66.0 loc311
44.0 94.0 loc312
47.0 39.0 loc313
6.0 62.0 loc314
81.0 66.0 loc315
53.0 83.0 loc316
19.0 47.0 loc317
48.0 7.0 loc318
20.0 15.0 loc319
12.0 63.0 loc320
35.0 34.0 loc321
31.0 64.0 loc322
85.0 72.0 loc323
56.0 55.0 loc324
48.0 38.0 loc325
52.0 59.0 loc326
15.0 92.0 loc327
2.0 8.0 loc328
13.0 22.0 loc329
58.0 99.0 loc330
36.0 4.0 loc331
79.0 33.0 loc332
2.0 55.0 loc333
42.0 34.0 loc334
50.0 18.0 loc335
55.0 32.0 loc336
61.0 37.0 loc337
23.0 53.0 loc338
89.0 38.0 loc339
77.0 46.0 loc340
20.0 38.0 loc341
58.0 92.0 loc342
58.0 86.0 loc343
68.0 57.0 loc344
36.0 47.0 loc345
6.0 33.0 loc346
9.0 15.0 loc347
91.0 15.0 loc348
99.0 4.0 loc349
86.0 47.0 loc350
91.0 32.0 loc351
77.0 14.0 loc352
3.0 86.0 loc353
33.0 73.0 loc354
32.0 79.0 loc355
29.0 51.0 loc356
4.0 23.0 loc357
92.0 18.0 loc358
10.0 29.0 loc359
86.0 21.0 loc360
29.0 8.0 loc361
16.0 3.0 loc362
96.0 92.0 loc363
99.0 44.0 loc364
27.0 12.0 loc365
91.0 59.0 loc366
71.0 24.0 loc367
45.0 92.0 loc368
4.0 43.0 loc369
23.0 16.0 loc370
88.0 12.0 loc371
88.0 37.0 loc372
72.0 83.0 loc373
98.0 36.0 loc374
79.0 60.0 loc375
21.0 87.0 loc376
95.0 3.0 loc377
70.0 31.0 loc378
41.0 66.0 loc379
70.0 29.0 loc380
17.0 12.0 loc381
2.0 32.0 loc382
39.0 23.0 loc383
47.0 35.0 loc384
68.0 98.0 loc385
27.0 58.0 loc386
79.0 9.0 loc387
50.0 65.0 loc388
93.0 89.0 loc389
96.0 34.0 loc390
1.0 67.0 loc391
99.0 79.0 loc392
43.0 1.0 loc393
65.0 33.0 loc394
88.0 18.0 loc395
57.0 9.0 loc396
22.0 12.0 loc397
59.0 16.0 loc398
25.0 64.0 loc399
87.0 34.0 loc400
24.0 97.0 loc401
62.0 75.0 loc402
35.0 60.0 loc403
64.0 67.0 loc404
23.0 89.0 loc405
77.0 52.0 loc406
65.0 35.0 loc407
62.0 71.0 loc408
61.0 83.0 loc409
77.0 51.0 loc410
9.0 11.0 loc411
26.0 18.0 loc412
