/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
375
/*The Depot*/
0.8682118449033069 0.2588470622382909 depot
/*The Locations (x_coor y_coor name)*/
87.0 80.0 loc1
42.0 19.0 loc2
89.0 76.0 loc3
3.0 73.0 loc4
7.0 65.0 loc5
29.0 24.0 loc6
25.0 9.0 loc7
25.0 69.0 loc8
81.0 43.0 loc9
4.0 14.0 loc10
24.0 61.0 loc11
3.0 45.0 loc12
37.0 60.0 loc13
1.0 77.0 loc14
64.0 86.0 loc15
21.0 84.0 loc16
48.0 44.0 loc17
88.0 19.0 loc18
80.0 66.0 loc19
79.0 58.0 loc20
5.0 48.0 loc21
98.0 3.0 loc22
81.0 51.0 loc23
59.0 15.0 loc24
45.0 38.0 loc25
98.0 74.0 loc26
84.0 3.0 loc27
63.0 41.0 loc28
55.0 33.0 loc29
38.0 17.0 loc30
37.0 55.0 loc31
16.0 43.0 loc32
0.0 71.0 loc33
90.0 70.0 loc34
15.0 42.0 loc35
7.0 49.0 loc36
83.0 28.0 loc37
88.0 22.0 loc38
9.0 60.0 loc39
75.0 96.0 loc40
45.0 22.0 loc41
18.0 42.0 loc42
5.0 17.0 loc43
69.0 41.0 loc44
10.0 1.0 loc45
50.0 17.0 loc46
8.0 53.0 loc47
42.0 47.0 loc48
6.0 17.0 loc49
65.0 65.0 loc50
52.0 35.0 loc51
76.0 99.0 loc52
13.0 45.0 loc53
47.0 54.0 loc54
1.0 80.0 loc55
61.0 48.0 loc56
55.0 87.0 loc57
0.0 17.0 loc58
64.0 38.0 loc59
58.0 25.0 loc60
31.0 98.0 loc61
1.0 26.0 loc62
22.0 84.0 loc63
48.0 0.0 loc64
7.0 38.0 loc65
23.0 7.0 loc66
65.0 46.0 loc67
50.0 14.0 loc68
34.0 17.0 loc69
55.0 95.0 loc70
37.0 83.0 loc71
48.0 15.0 loc72
77.0 69.0 loc73
60.0 12.0 loc74
48.0 84.0 loc75
57.0 24.0 loc76
10.0 62.0 loc77
27.0 70.0 loc78
66.0 59.0 loc79
78.0 73.0 loc80
16.0 43.0 loc81
77.0 37.0 loc82
53.0 22.0 loc83
72.0 55.0 loc84
24.0 97.0 loc85
20.0 87.0 loc86
54.0 8.0 loc87
13.0 5.0 loc88
44.0 37.0 loc89
17.0 45.0 loc90
5.0 60.0 loc91
35.0 4.0 loc92
95.0 72.0 loc93
32.0 5.0 loc94
24.0 71.0 loc95
59.0 80.0 loc96
14.0 26.0 loc97
64.0 70.0 loc98
45.0 20.0 loc99
6.0 22.0 loc100
5.0 90.0 loc101
94.0 84.0 loc102
39.0 16.0 loc103
63.0 77.0 loc104
64.0 14.0 loc105
73.0 51.0 loc106
80.0 1.0 loc107
43.0 59.0 loc108
30.0 72.0 loc109
77.0 57.0 loc110
93.0 0.0 loc111
59.0 11.0 loc112
68.0 85.0 loc113
2.0 63.0 loc114
96.0 20.0 loc115
49.0 7.0 loc116
38.0 10.0 loc117
37.0 18.0 loc118
72.0 66.0 loc119
11.0 65.0 loc120
52.0 88.0 loc121
55.0 67.0 loc122
92.0 89.0 loc123
2.0 43.0 loc124
94.0 67.0 loc125
72.0 17.0 loc126
36.0 9.0 loc127
31.0 76.0 loc128
72.0 3.0 loc129
73.0 67.0 loc130
2.0 66.0 loc131
89.0 13.0 loc132
7.0 79.0 loc133
1.0 4.0 loc134
69.0 71.0 loc135
0.0 39.0 loc136
65.0 83.0 loc137
80.0 64.0 loc138
