#MAXFLY 9.308392377099855

/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.9817901576332624 0.5037036329582638 depot
/*The Locations (x_coor y_coor name)*/
77.0 58.0 loc1
86.0 20.0 loc2
61.0 22.0 loc3
6.0 25.0 loc4
73.0 10.0 loc5
73.0 83.0 loc6
49.0 13.0 loc7
22.0 57.0 loc8
12.0 54.0 loc9
94.0 52.0 loc10
81.0 47.0 loc11
68.0 17.0 loc12
89.0 69.0 loc13
95.0 62.0 loc14
3.0 35.0 loc15
90.0 5.0 loc16
66.0 93.0 loc17
65.0 94.0 loc18
24.0 40.0 loc19
62.0 81.0 loc20
48.0 47.0 loc21
87.0 5.0 loc22
50.0 68.0 loc23
60.0 95.0 loc24
32.0 46.0 loc25
69.0 10.0 loc26
25.0 75.0 loc27
25.0 79.0 loc28
66.0 51.0 loc29
6.0 45.0 loc30
32.0 52.0 loc31
77.0 16.0 loc32
21.0 27.0 loc33
71.0 56.0 loc34
13.0 76.0 loc35
5.0 10.0 loc36
32.0 9.0 loc37
21.0 63.0 loc38
86.0 19.0 loc39
81.0 4.0 loc40
58.0 79.0 loc41
10.0 45.0 loc42
36.0 35.0 loc43
35.0 37.0 loc44
27.0 79.0 loc45
59.0 63.0 loc46
23.0 29.0 loc47
2.0 45.0 loc48
69.0 73.0 loc49
79.0 62.0 loc50
7.0 81.0 loc51
15.0 98.0 loc52
67.0 36.0 loc53
74.0 2.0 loc54
5.0 9.0 loc55
87.0 41.0 loc56
41.0 94.0 loc57
78.0 95.0 loc58
51.0 24.0 loc59
50.0 15.0 loc60
49.0 77.0 loc61
42.0 36.0 loc62
3.0 32.0 loc63
33.0 98.0 loc64
90.0 66.0 loc65
41.0 88.0 loc66
59.0 82.0 loc67
1.0 24.0 loc68
29.0 80.0 loc69
23.0 78.0 loc70
90.0 29.0 loc71
13.0 17.0 loc72
90.0 23.0 loc73
52.0 86.0 loc74
9.0 93.0 loc75
23.0 54.0 loc76
23.0 67.0 loc77
38.0 44.0 loc78
71.0 20.0 loc79
70.0 54.0 loc80
1.0 59.0 loc81
38.0 74.0 loc82
1.0 36.0 loc83
77.0 53.0 loc84
84.0 72.0 loc85
67.0 99.0 loc86
18.0 69.0 loc87
34.0 52.0 loc88
19.0 21.0 loc89
73.0 47.0 loc90
88.0 89.0 loc91
60.0 86.0 loc92
69.0 51.0 loc93
39.0 23.0 loc94
60.0 61.0 loc95
50.0 66.0 loc96
77.0 60.0 loc97
30.0 64.0 loc98
61.0 20.0 loc99

