#MAXFLY 11.903175374352335

/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.054357709417166444 0.6165708602774932 depot
/*The Locations (x_coor y_coor name)*/
21.0 44.0 loc1
85.0 11.0 loc2
54.0 38.0 loc3
82.0 38.0 loc4
21.0 51.0 loc5
19.0 11.0 loc6
5.0 1.0 loc7
84.0 38.0 loc8
93.0 26.0 loc9
98.0 50.0 loc10
44.0 60.0 loc11
64.0 62.0 loc12
7.0 60.0 loc13
85.0 21.0 loc14
64.0 33.0 loc15
36.0 40.0 loc16
36.0 48.0 loc17
92.0 4.0 loc18
85.0 84.0 loc19
60.0 21.0 loc20
90.0 41.0 loc21
15.0 61.0 loc22
65.0 78.0 loc23
46.0 98.0 loc24
38.0 11.0 loc25
71.0 32.0 loc26
30.0 15.0 loc27
6.0 59.0 loc28
87.0 11.0 loc29
48.0 90.0 loc30
91.0 25.0 loc31
7.0 40.0 loc32
69.0 89.0 loc33
5.0 72.0 loc34
27.0 21.0 loc35
80.0 24.0 loc36
30.0 60.0 loc37
34.0 98.0 loc38
28.0 77.0 loc39
64.0 44.0 loc40
68.0 59.0 loc41
28.0 46.0 loc42
13.0 67.0 loc43
69.0 70.0 loc44
64.0 76.0 loc45
8.0 28.0 loc46
88.0 34.0 loc47
12.0 0.0 loc48
12.0 65.0 loc49

