#MAXFLY 2.981239453407516

/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
75
/*The Depot*/
0.10410182458252282 0.6470206251182772 depot
/*The Locations (x_coor y_coor name)*/
23.0 87.0 loc1
33.0 43.0 loc2
43.0 24.0 loc3
3.0 63.0 loc4
86.0 18.0 loc5
73.0 92.0 loc6
56.0 91.0 loc7
74.0 86.0 loc8
90.0 70.0 loc9
25.0 52.0 loc10
75.0 58.0 loc11
26.0 85.0 loc12
11.0 50.0 loc13
90.0 79.0 loc14
65.0 77.0 loc15
79.0 0.0 loc16
15.0 31.0 loc17
90.0 0.0 loc18
1.0 47.0 loc19
34.0 31.0 loc20
11.0 23.0 loc21
26.0 21.0 loc22
15.0 6.0 loc23
44.0 16.0 loc24
7.0 52.0 loc25
97.0 22.0 loc26
41.0 1.0 loc27
33.0 88.0 loc28
25.0 20.0 loc29
83.0 66.0 loc30
64.0 94.0 loc31
22.0 20.0 loc32
78.0 40.0 loc33
38.0 95.0 loc34
30.0 50.0 loc35
62.0 26.0 loc36
67.0 26.0 loc37
96.0 24.0 loc38
63.0 45.0 loc39
16.0 15.0 loc40
84.0 13.0 loc41
3.0 74.0 loc42
31.0 85.0 loc43
86.0 32.0 loc44
28.0 37.0 loc45
50.0 58.0 loc46
97.0 5.0 loc47
23.0 43.0 loc48
6.0 49.0 loc49
26.0 42.0 loc50
2.0 36.0 loc51
86.0 12.0 loc52
58.0 51.0 loc53
42.0 17.0 loc54
38.0 29.0 loc55
88.0 59.0 loc56
2.0 64.0 loc57
26.0 17.0 loc58
26.0 21.0 loc59
2.0 70.0 loc60
64.0 66.0 loc61
45.0 93.0 loc62
4.0 15.0 loc63
12.0 8.0 loc64
22.0 75.0 loc65
18.0 14.0 loc66
33.0 24.0 loc67
62.0 74.0 loc68
16.0 13.0 loc69
93.0 44.0 loc70
73.0 81.0 loc71
42.0 22.0 loc72
35.0 62.0 loc73
14.0 56.0 loc74

