#MAXFLY 13.145797748943075

/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.14504417255903446 0.2184104403363245 depot
/*The Locations (x_coor y_coor name)*/
37.0 71.0 loc1
36.0 70.0 loc2
93.0 28.0 loc3
94.0 13.0 loc4
88.0 64.0 loc5
77.0 94.0 loc6
90.0 77.0 loc7
66.0 63.0 loc8
22.0 57.0 loc9
96.0 33.0 loc10
0.0 43.0 loc11
82.0 1.0 loc12
98.0 70.0 loc13
26.0 15.0 loc14
89.0 15.0 loc15
25.0 74.0 loc16
97.0 20.0 loc17
86.0 36.0 loc18
65.0 93.0 loc19
58.0 79.0 loc20
98.0 88.0 loc21
30.0 9.0 loc22
64.0 12.0 loc23
54.0 21.0 loc24
47.0 7.0 loc25
35.0 91.0 loc26
27.0 25.0 loc27
99.0 71.0 loc28
5.0 29.0 loc29
8.0 93.0 loc30
10.0 27.0 loc31
45.0 9.0 loc32
74.0 19.0 loc33
22.0 35.0 loc34
23.0 70.0 loc35
73.0 42.0 loc36
54.0 54.0 loc37
35.0 50.0 loc38
56.0 37.0 loc39
53.0 3.0 loc40
30.0 59.0 loc41
37.0 89.0 loc42
73.0 41.0 loc43
49.0 75.0 loc44
35.0 83.0 loc45
3.0 31.0 loc46
98.0 65.0 loc47
8.0 80.0 loc48
4.0 27.0 loc49

